"long","lat","n","cat"
-103.685929648241,20.572864321608,2.85094242384412,"Baja"
-103.68391959799,20.572864321608,2.86898053480854,"Baja"
-103.681909547739,20.572864321608,2.88722092145872,"Baja"
-103.679899497487,20.572864321608,2.90566660600098,"Baja"
-103.677889447236,20.572864321608,2.92432067732307,"Baja"
-103.675879396985,20.572864321608,2.94318629419286,"Baja"
-103.673869346734,20.572864321608,2.9622666886321,"Baja"
-103.671859296482,20.572864321608,2.98156516957852,"Baja"
-103.669849246231,20.572864321608,3.00108512685847,"Baja"
-103.66783919598,20.572864321608,3.02083003540292,"Baja"
-103.665829145729,20.572864321608,3.0408034598745,"Baja"
-103.663819095477,20.572864321608,3.06100905967742,"Baja"
-103.661809045226,20.572864321608,3.08145059424805,"Baja"
-103.659798994975,20.572864321608,3.10213192895935,"Baja"
-103.657788944724,20.572864321608,3.12305704136361,"Baja"
-103.655778894472,20.572864321608,3.14423002799458,"Media"
-103.653768844221,20.572864321608,3.16565511172848,"Media"
-103.65175879397,20.572864321608,3.18733664980255,"Media"
-103.649748743719,20.572864321608,3.20927914238518,"Media"
-103.647738693467,20.572864321608,3.23148724202201,"Media"
-103.645728643216,20.572864321608,3.25396576371031,"Media"
-103.643718592965,20.572864321608,3.27671969596167,"Media"
-103.641708542714,20.572864321608,3.2997542127041,"Media"
-103.639698492462,20.572864321608,3.32307468637009,"Media"
-103.637688442211,20.572864321608,3.3466867018401,"Media"
-103.63567839196,20.572864321608,3.37059607185938,"Media"
-103.633668341709,20.572864321608,3.39480885372996,"Media"
-103.631658291457,20.572864321608,3.41933136733223,"Media"
-103.629648241206,20.572864321608,3.44417021498975,"Media"
-103.627638190955,20.572864321608,3.46933230294417,"Media"
-103.625628140704,20.572864321608,3.4948248648343,"Media"
-103.623618090452,20.572864321608,3.52065548732344,"Media"
-103.621608040201,20.572864321608,3.54683213806265,"Media"
-103.61959798995,20.572864321608,3.57336319637352,"Media"
-103.617587939698,20.572864321608,3.60025748661747,"Media"
-103.615577889447,20.572864321608,3.62752431499166,"Media"
-103.613567839196,20.572864321608,3.65517350969594,"Media"
-103.611557788945,20.572864321608,3.68321546508787,"Media"
-103.609547738693,20.572864321608,3.711661190222,"Media"
-103.607537688442,20.572864321608,3.74052236216266,"Media"
-103.605527638191,20.572864321608,3.76981138486508,"Media"
-103.60351758794,20.572864321608,3.79954145387183,"Media"
-103.601507537688,20.572864321608,3.8297266279119,"Media"
-103.599497487437,20.572864321608,3.86038190802446,"Media"
-103.597487437186,20.572864321608,3.89152332507911,"Media"
-103.595477386935,20.572864321608,3.92316803676658,"Media"
-103.593467336683,20.572864321608,3.95533443534987,"Media"
-103.591457286432,20.572864321608,3.98804226730954,"Media"
-103.589447236181,20.572864321608,4.02131276655473,"Media"
-103.58743718593,20.572864321608,4.05516880291088,"Media"
-103.585427135678,20.572864321608,4.08963504781423,"Media"
-103.583417085427,20.572864321608,4.12473815955491,"Media"
-103.581407035176,20.572864321608,4.16050699080643,"Alta"
-103.579396984925,20.572864321608,4.1969728210579,"Alta"
-103.577386934673,20.572864321608,4.23416961784733,"Alta"
-103.575376884422,20.572864321608,4.27213433058751,"Alta"
-103.573366834171,20.572864321608,4.31090722140198,"Alta"
-103.57135678392,20.572864321608,4.3505322385472,"Alta"
-103.569346733668,20.572864321608,4.3910574381689,"Alta"
-103.567336683417,20.572864321608,4.43253546173582,"Alta"
-103.565326633166,20.572864321608,4.47502407697084,"Alta"
-103.563316582915,20.572864321608,4.51858679161978,"Alta"
-103.561306532663,20.572864321608,4.56329355099024,"Alta"
-103.559296482412,20.572864321608,4.6092215313538,"Alta"
-103.557286432161,20.572864321608,4.65645604346446,"Alta"
-103.55527638191,20.572864321608,4.70509156244134,"Alta"
-103.553266331658,20.572864321608,4.75523290225101,"Alta"
-103.551256281407,20.572864321608,4.80699655599801,"Alta"
-103.549246231156,20.572864321608,4.86051222506467,"Alta"
-103.547236180905,20.572864321608,4.91592456352464,"Alta"
-103.545226130653,20.572864321608,4.97339516637021,"Alta"
-103.543216080402,20.572864321608,5.03310483205769,"Alta"
-103.541206030151,20.572864321608,5.09525613216283,"Alta"
-103.5391959799,20.572864321608,5.1600763200322,"Alta"
-103.537185929648,20.572864321608,5.22782060961617,"Alta"
-103.535175879397,20.572864321608,5.2987758499612,"Alta"
-103.533165829146,20.572864321608,5.37326461220982,"Alta"
-103.531155778894,20.572864321608,5.45164968981953,"Alta"
-103.529145728643,20.572864321608,5.53433898906405,"Alta"
-103.527135678392,20.572864321608,5.62179075050881,"Alta"
-103.525125628141,20.572864321608,5.71451899247495,"Alta"
-103.523115577889,20.572864321608,5.81309899833286,"Alta"
-103.521105527638,20.572864321608,5.91817257985349,"Alta"
-103.519095477387,20.572864321608,6.03045273592579,"Alta"
-103.517085427136,20.572864321608,6.15072718853116,"Alta"
-103.515075376884,20.572864321608,6.27986012233214,"Alta"
-103.513065326633,20.572864321608,6.41879128874371,"Alta"
-103.511055276382,20.572864321608,6.56853147661241,"Alta"
-103.509045226131,20.572864321608,6.73015322693664,"Alta"
-103.507035175879,20.572864321608,6.90477561322405,"Muy alta"
-103.505025125628,20.572864321608,7.09354195925152,"Muy alta"
-103.503015075377,20.572864321608,7.29758956368914,"Muy alta"
-103.501005025126,20.572864321608,7.51801087143394,"Muy alta"
-103.498994974874,20.572864321608,7.75580607511893,"Muy alta"
-103.496984924623,20.572864321608,8.01182782027445,"Muy alta"
-103.494974874372,20.572864321608,8.28671945236692,"Muy alta"
-103.492964824121,20.572864321608,8.58084899623645,"Muy alta"
