"","colonia","dia.sem","long","lat","n"
"355","MANTE EL","Tue",-103.423251725,20.6089805225,4
"356","MARIANO OTERO","Thu",-103.449155175,20.6300271,4
"357","MARTINICA LA","Thu",-103.365701725,20.7443057725,4
"358","MESA COLORADA","Wed",-103.340533225,20.76467797,4
"359","MESA DE LOS OCOTES","Fri",-103.3466116,20.763394765,4
"360","MESA DE LOS OCOTES","Thu",-103.349689625,20.76524841,4
"361","MIGUEL HIDALGO","Fri",-103.33778805,20.7471179125,4
"362","MILPILLAS","Mon",-103.428968025,20.932927565,4
"363","MIRADOR DE SAN ISIDRO","Tue",-103.392450625,20.761011605,4
"364","MIRADOR DEL SOL","Mon",-103.4207077,20.6534225,4
"365","MIRADOR DEL SOL","Tue",-103.4201789,20.653243295,4
"366","MIRADOR ESCONDIDO","Wed",-103.33125285,20.764863395,4
"367","MISION DEL BOSQUE","Mon",-103.389232825,20.76055646,4
"368","MISION LA FLORESTA","Sat",-103.465036475,20.6254097825,4
"369","NUCLEO BELENES","Fri",-103.38088795,20.738502885,4
"370","NUEVA ESPAniA","Mon",-103.341862675,20.743435135,4
"371","NUEVA PRIMAVERA","Sun",-103.428457325,20.6526353175,4
"372","NUEVO MEXICO","Wed",-103.43560255,20.7599146525,4
"373","NUEVO VERGEL","Wed",-103.3629013,20.7534468125,4
"374","PARQUES DE TESISTAN","Fri",-103.4705574,20.799213,4
"375","PARQUES DE TESISTAN","Mon",-103.468701175,20.7959922125,4
"376","PARQUES DEL AUDITORIO","Thu",-103.352804275,20.737285465,4
"377","PINAR DE LA CALMA","Fri",-103.416687925,20.61846035,4
"378","PINAR DE LA CALMA","Sat",-103.4182461,20.6228959725,4
"379","PIRAMIDES LAS","Sat",-103.43320285,20.6270092125,4
"380","PLAZA DEL SOL","Fri",-103.401808175,20.6503425,4
"381","PRADOS DE SANTA LUCIA","Mon",-103.502762225,20.8014344375,4
"382","PRADOS DE SANTA LUCIA","Thu",-103.5044944,20.799349485,4
"383","PRADOS TEPEYAC","Wed",-103.414248925,20.654469025,4
"384","REAL VALLARTA","Thu",-103.4242717,20.6752612725,4
"385","REAL VALLARTA","Tue",-103.42478195,20.675850855,4
"386","REAL VALLARTA","Wed",-103.424823925,20.675099185,4
"387","RESIDENCIAL MOCTEZUMA PONIENTE","Fri",-103.4346191,20.6483833175,4
"388","RESIDENCIAL PATRIA","Mon",-103.374937075,20.7141580075,4
"389","RESIDENCIAL PATRIA","Thu",-103.375935275,20.7132885025,4
"390","RESIDENCIAL PLAZA GUADALUPE","Sat",-103.432480825,20.6552217525,4
"391","RESIDENCIAL PLAZA GUADALUPE","Wed",-103.432917425,20.6563824975,4
"392","RESIDENCIAL PONIENTE","Thu",-103.4297558,20.7263519875,4
"393","RESIDENCIAL PONIENTE","Tue",-103.4289144,20.726681035,4
"394","RESIDENCIAL VICTORIA","Sat",-103.40035585,20.6455139175,4
"395","RESIDENCIAL VICTORIA","Tue",-103.3999022,20.646963045,4
"396","RESIDENCIAL VIRREYES","Wed",-103.439888375,20.6933785325,4
"397","RINCONADA DE LA CALMA","Mon",-103.4088675,20.6313362175,4
"398","RINCONADA DE LA CALMA","Wed",-103.40806705,20.6306773775,4
"399","SAN ESTEBAN","Wed",-103.374393025,20.7972030675,4
"400","SAN ISIDRO EJIDAL","Thu",-103.398629525,20.72996772,4
"401","SANTA MONICA DE LOS CHORRITOS","Wed",-103.496071,20.79512459,4
"402","TEPEYAC","Mon",-103.384217925,20.72633452,4
"403","TESISTAN","Fri",-103.480037625,20.7982647275,4
"404","TULE EL","Thu",-103.450636175,20.6933694925,4
"405","UNIDAD LOPEZ PORTILLO","Fri",-103.3448918,20.73565391,4
"406","UNIDAD REPUBLICA","Thu",-103.396444125,20.72214524,4
"407","VALLARTA LA PATRIA","Mon",-103.419989125,20.674186125,4
"408","VALLARTA LA PATRIA","Thu",-103.419842,20.67351049,4
"409","VALLE DE LOS MOLINOS","Sat",-103.427107175,20.8534575175,4
"410","VALLE DE SAN ISIDRO","Mon",-103.387643175,20.751722095,4
"411","VENTA DEL ASTILLERO LA","Wed",-103.54044865,20.7295808925,4
"412","VENUSTIANO CARRANZA","Wed",-103.35739625,20.72474932,4
"413","VICTOR HUGO","Mon",-103.34048075,20.7254124625,4
"414","VILLAS DE GUADALUPE","Fri",-103.343808925,20.75014699,4
"415","VILLAS DE GUADALUPE","Sun",-103.34157775,20.7519595725,4
"416","AGRICOLA","Fri",-103.432978533333,20.6137688633333,3
"417","AGRICOLA","Wed",-103.432093266667,20.6169634666667,3
"418","AGUA BLANCA SUR","Fri",-103.434533433333,20.59726278,3
"419","AGUA BLANCA SUR","Wed",-103.4335674,20.59624513,3
"420","AGUA FRIA","Sun",-103.351834666667,20.7479653433333,3
"421","AGUILAS LAS","Tue",-103.415918066667,20.62690771,3
"422","ALTAGRACIA","Fri",-103.3936919,20.7418252566667,3
"423","ALTAMIRA","Tue",-103.3854365,20.7128273666667,3
"424","AMPLIACION SANTA LUCIA","Sat",-103.498067566667,20.8097341866667,3
"425","AMPLIACION SANTA LUCIA","Thu",-103.497103066667,20.8111288766667,3
"426","ARCOS DE GUADALUPE","Thu",-103.4376181,20.66726941,3
"427","ARCOS DE GUADALUPE","Tue",-103.435352,20.66455486,3
"428","ARCOS DE ZAPOPAN","Sun",-103.406576,20.7404801566667,3
"429","ARROYO HONDO","Fri",-103.347538966667,20.7423625233333,3
"430","ATEMAJAC DEL VALLE","Wed",-103.350567133333,20.7198995166667,3
"431","AUDITORIO","Tue",-103.347704133333,20.73162708,3
"432","AUDITORIO","Wed",-103.347648933333,20.73018019,3
"433","BALCONES DE LA CANTERA","Fri",-103.354162233333,20.74238968,3
"434","BALCONES DEL SOL","Mon",-103.457958133333,20.65076834,3
"435","BATAN EL","Fri",-103.347108366667,20.7221916466667,3
"436","BATAN EL","Mon",-103.346211466667,20.7234703,3
"437","BATAN EL","Sun",-103.3460641,20.72111795,3
"438","BENITO JUAREZ","Tue",-103.338847166667,20.7355604033333,3
"439","BOSQUES DEL CENTINELA","Fri",-103.3771523,20.7562857166667,3
"440","BOSQUES DEL CENTINELA","Mon",-103.378956633333,20.7520979933333,3
"441","BUGAMBILIAS","Sat",-103.458318966667,20.60570475,3
"442","CAJETES LOS","Sat",-103.4253821,20.5908521966667,3
"443","CAJETES LOS","Sun",-103.424901966667,20.5907306766667,3
"444","CAJETES LOS","Tue",-103.426772233333,20.58962941,3
"445","CAMICHINES VALLARTA","Tue",-103.4310021,20.6797785866667,3
"446","CASITAS LAS","Mon",-103.422351833333,20.7380035133333,3
"447","CASITAS LAS","Sun",-103.423666166667,20.7373203433333,3
"448","CHAPALITA DE OCCIDENTE","Wed",-103.4237457,20.65696,3
"449","CIUDAD BUGAMBILIAS","Mon",-103.4591568,20.61017793,3
"450","CIUDAD BUGAMBILIAS","Thu",-103.4598405,20.60956684,3
"451","CIUDAD DEL SOL","Fri",-103.406023833333,20.65159035,3
"452","CIUDAD DEL SOL","Wed",-103.407833266667,20.65331964,3
"453","CIUDAD GRANJA","Tue",-103.445597266667,20.6834471233333,3
"454","COLINAS DE ATEMAJAC","Sat",-103.363250933333,20.7185259133333,3
"455","COLINAS DE LA PRIMAVERA","Sat",-103.472803533333,20.63866608,3
"456","COLINAS DE LAS AGUILAS","Mon",-103.409495066667,20.6269652933333,3
"457","CONJUNTO PATRIA","Fri",-103.378028166667,20.71516661,3
"458","CORONILLA LA","Fri",-103.329112466667,20.75770259,3
"459","DIVISION DEL NORTE","Fri",-103.355729333333,20.7327823066667,3
"460","DIVISION DEL NORTE","Tue",-103.354890266667,20.7329602666667,3
"461","EJIDO COPALITA","Sun",-103.4481462,20.8276107166667,3
"462","ESTADIO OMNILIFE","Thu",-103.4624413,20.6799850233333,3
"463","ESTANCIA LA","Sat",-103.4266019,20.6721520766667,3
"464","FRANCISCO SARABIA","Mon",-103.430867,20.6114409033333,3
"465","FUENTES LAS","Mon",-103.423783133333,20.6201147633333,3
"466","GUSA LA","Sun",-103.365563066667,20.72265987,3
"467","GUSTAVO DIAZ ORDAZ","Wed",-103.4203401,20.6194564633333,3
"468","HACIENDAS DEL VALLE","Wed",-103.394735233333,20.7591872233333,3
"469","HIGUERA LA","Sat",-103.332047966667,20.7506811566667,3
"470","HUMEDO EL","Mon",-103.501717733333,20.79372839,3
"471","INDIGENA DE MEZQUITAN","Sat",-103.333623633333,20.7393764533333,3
"472","INDIGENA DE MEZQUITAN","Sun",-103.331756133333,20.7382532433333,3
"473","INDUSTRIAL BELENES","Fri",-103.378442766667,20.7379412533333,3
"474","INDUSTRIAL BELENES","Thu",-103.3779147,20.7357916066667,3
"475","INDUSTRIAL BELENES","Wed",-103.378571033333,20.73754326,3
"476","IXCATAN","Fri",-103.344232866667,20.8498061933333,3
"477","IXCATAN","Mon",-103.3403784,20.8498644833333,3
"478","JARDIN REAL","Thu",-103.438229,20.73576005,3
"479","JARDINES DE LA ESPERANZA","Fri",-103.3573855,20.7380942,3
"480","JARDINES DE LA ESPERANZA","Wed",-103.3567973,20.73830771,3
"481","JARDINES DE LAS FUENTES","Mon",-103.4629905,20.7813011933333,3
"482","JARDINES DE LOS BELENES","Sat",-103.333986366667,20.7311870333333,3
"483","JARDINES DE NUEVO MEXICO","Sun",-103.4434873,20.7641480666667,3
"484","JARDINES DEL SOL","Fri",-103.415970766667,20.64997465,3
"485","JARDINES DEL VALLE","Tue",-103.4300426,20.7459344266667,3
